PROVINCE_UID,PROVINCE_NAME,CCSUID,CCSNAME,CROPUID,CROP_NAME,FARMS_REPORTING,HECTARES
11,Prince Edward Island,1101005,"Murray River, Part 1",76,Forage seed to be harvested for seed,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",79,Potatoes,1,
11,Prince Edward Island,1101005,"Murray River, Part 1",82,Mustard seed,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",85,Sunflower seed,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",88,Canary seed,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",91,Ginseng,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",94,Buckwheat,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",97,Sugar beets,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",100,Triticale,1,9
11,Prince Edward Island,1101005,"Murray River, Part 1",103,Hemp,0,0
11,Prince Edward Island,1101005,"Murray River, Part 1",106,Other field crops,0,0
11,Prince Edward Island,1101035,Souris,1,Total area of field crops and hay,31,7880
11,Prince Edward Island,1101035,Souris,4,"Wheat, total",3,288
11,Prince Edward Island,1101035,Souris,7,Spring wheat (excluding durum),2,
11,Prince Edward Island,1101035,Souris,10,Durum wheat,0,0
11,Prince Edward Island,1101035,Souris,13,Winter wheat,2,202
11,Prince Edward Island,1101035,Souris,16,Oats,11,325
11,Prince Edward Island,1101035,Souris,19,Barley,14,1310
11,Prince Edward Island,1101035,Souris,22,Mixed grains,0,0
11,Prince Edward Island,1101035,Souris,25,"Corn, total",2,
11,Prince Edward Island,1101035,Souris,28,Corn for grain,1,
11,Prince Edward Island,1101035,Souris,31,Corn for silage,1,
11,Prince Edward Island,1101035,Souris,34,"Rye, total",0,0
11,Prince Edward Island,1101035,Souris,37,Fall rye,0,0
11,Prince Edward Island,1101035,Souris,40,Spring rye,0,0
11,Prince Edward Island,1101035,Souris,43,Canola (rapeseed),0,0
11,Prince Edward Island,1101035,Souris,46,Soybeans,2,
11,Prince Edward Island,1101035,Souris,49,Flaxseed,0,0
11,Prince Edward Island,1101035,Souris,52,Dry field peas,0,0
11,Prince Edward Island,1101035,Souris,55,Chick peas,0,0
11,Prince Edward Island,1101035,Souris,58,Lentils,0,0
11,Prince Edward Island,1101035,Souris,61,Faba beans,0,0
11,Prince Edward Island,1101035,Souris,64,Dry white beans,0,0
11,Prince Edward Island,1101035,Souris,67,Other dry beans,0,0
11,Prince Edward Island,1101035,Souris,70,Alfalfa and alfalfa mixtures,5,697
11,Prince Edward Island,1101035,Souris,73,All other tame hay and fodder crops,23,2210
11,Prince Edward Island,1101035,Souris,76,Forage seed to be harvested for seed,0,0
11,Prince Edward Island,1101035,Souris,79,Potatoes,13,2871
11,Prince Edward Island,1101035,Souris,82,Mustard seed,2,
11,Prince Edward Island,1101035,Souris,85,Sunflower seed,0,0
11,Prince Edward Island,1101035,Souris,88,Canary seed,0,0
11,Prince Edward Island,1101035,Souris,91,Ginseng,0,0
11,Prince Edward Island,1101035,Souris,94,Buckwheat,2,
11,Prince Edward Island,1101035,Souris,97,Sugar beets,0,0
11,Prince Edward Island,1101035,Souris,100,Triticale,0,0
11,Prince Edward Island,1101035,Souris,103,Hemp,0,0
11,Prince Edward Island,1101035,Souris,106,Other field crops,1,
11,Prince Edward Island,1101037,St. Peters,1,Total area of field crops and hay,12,2028
11,Prince Edward Island,1101037,St. Peters,4,"Wheat, total",2,188
11,Prince Edward Island,1101037,St. Peters,7,Spring wheat (excluding durum),1,
11,Prince Edward Island,1101037,St. Peters,10,Durum wheat,0,0
11,Prince Edward Island,1101037,St. Peters,13,Winter wheat,1,132
11,Prince Edward Island,1101037,St. Peters,16,Oats,3,
11,Prince Edward Island,1101037,St. Peters,19,Barley,3,304
11,Prince Edward Island,1101037,St. Peters,22,Mixed grains,1,49
11,Prince Edward Island,1101037,St. Peters,25,"Corn, total",4,289
11,Prince Edward Island,1101037,St. Peters,28,Corn for grain,2,
11,Prince Edward Island,1101037,St. Peters,31,Corn for silage,4,204
11,Prince Edward Island,1101037,St. Peters,34,"Rye, total",1,
11,Prince Edward Island,1101037,St. Peters,37,Fall rye,1,
11,Prince Edward Island,1101037,St. Peters,40,Spring rye,0,0
11,Prince Edward Island,1101037,St. Peters,43,Canola (rapeseed),0,0
11,Prince Edward Island,1101037,St. Peters,46,Soybeans,3,
11,Prince Edward Island,1101037,St. Peters,49,Flaxseed,0,0
11,Prince Edward Island,1101037,St. Peters,52,Dry field peas,0,0
11,Prince Edward Island,1101037,St. Peters,55,Chick peas,0,0
11,Prince Edward Island,1101037,St. Peters,58,Lentils,0,0
11,Prince Edward Island,1101037,St. Peters,61,Faba beans,0,0
11,Prince Edward Island,1101037,St. Peters,64,Dry white beans,0,0
11,Prince Edward Island,1101037,St. Peters,67,Other dry beans,0,0
11,Prince Edward Island,1101037,St. Peters,70,Alfalfa and alfalfa mixtures,6,395
11,Prince Edward Island,1101037,St. Peters,73,All other tame hay and fodder crops,9,416
11,Prince Edward Island,1101037,St. Peters,76,Forage seed to be harvested for seed,0,0
11,Prince Edward Island,1101037,St. Peters,79,Potatoes,1,
11,Prince Edward Island,1101037,St. Peters,82,Mustard seed,0,0
11,Prince Edward Island,1101037,St. Peters,85,Sunflower seed,0,0
11,Prince Edward Island,1101037,St. Peters,88,Canary seed,0,0
11,Prince Edward Island,1101037,St. Peters,91,Ginseng,0,0
11,Prince Edward Island,1101037,St. Peters,94,Buckwheat,0,0
11,Prince Edward Island,1101037,St. Peters,97,Sugar beets,0,0
11,Prince Edward Island,1101037,St. Peters,100,Triticale,0,0
11,Prince Edward Island,1101037,St. Peters,103,Hemp,0,0
11,Prince Edward Island,1101037,St. Peters,106,Other field crops,1,134
11,Prince Edward Island,1101043,Morell,1,Total area of field crops and hay,12,3552
11,Prince Edward Island,1101043,Morell,4,"Wheat, total",1,
11,Prince Edward Island,1101043,Morell,7,Spring wheat (excluding durum),1,
11,Prince Edward Island,1101043,Morell,10,Durum wheat,0,0
11,Prince Edward Island,1101043,Morell,13,Winter wheat,0,0
11,Prince Edward Island,1101043,Morell,16,Oats,2,144
11,Prince Edward Island,1101043,Morell,19,Barley,6,975
11,Prince Edward Island,1101043,Morell,22,Mixed grains,0,0
11,Prince Edward Island,1101043,Morell,25,"Corn, total",0,0
11,Prince Edward Island,1101043,Morell,28,Corn for grain,0,0
11,Prince Edward Island,1101043,Morell,31,Corn for silage,0,0
11,Prince Edward Island,1101043,Morell,34,"Rye, total",0,0
11,Prince Edward Island,1101043,Morell,37,Fall rye,0,0
11,Prince Edward Island,1101043,Morell,40,Spring rye,0,0
11,Prince Edward Island,1101043,Morell,43,Canola (rapeseed),0,0
11,Prince Edward Island,1101043,Morell,46,Soybeans,1,
11,Prince Edward Island,1101043,Morell,49,Flaxseed,0,0
11,Prince Edward Island,1101043,Morell,52,Dry field peas,0,0
11,Prince Edward Island,1101043,Morell,55,Chick peas,0,0
11,Prince Edward Island,1101043,Morell,58,Lentils,0,0
11,Prince Edward Island,1101043,Morell,61,Faba beans,0,0
11,Prince Edward Island,1101043,Morell,64,Dry white beans,0,0
11,Prince Edward Island,1101043,Morell,67,Other dry beans,0,0
11,Prince Edward Island,1101043,Morell,70,Alfalfa and alfalfa mixtures,1,
11,Prince Edward Island,1101043,Morell,73,All other tame hay and fodder crops,9,1035
11,Prince Edward Island,1101043,Morell,76,Forage seed to be harvested for seed,0,0
11,Prince Edward Island,1101043,Morell,79,Potatoes,6,1200
11,Prince Edward Island,1101043,Morell,82,Mustard seed,0,0
11,Prince Edward Island,1101043,Morell,85,Sunflower seed,0,0
11,Prince Edward Island,1101043,Morell,88,Canary seed,0,0
11,Prince Edward Island,1101043,Morell,91,Ginseng,0,0
11,Prince Edward Island,1101043,Morell,94,Buckwheat,0,0
11,Prince Edward Island,1101043,Morell,97,Sugar beets,0,0
11,Prince Edward Island,1101043,Morell,100,Triticale,0,0
11,Prince Edward Island,1101043,Morell,103,Hemp,0,0
11,Prince Edward Island,1101043,Morell,106,Other field crops,0,0
11,Prince Edward Island,1101045,Three Rivers,1,Total area of field crops and hay,44,6254
11,Prince Edward Island,1101045,Three Rivers,4,"Wheat, total",8,907
11,Prince Edward Island,1101045,Three Rivers,7,Spring wheat (excluding durum),6,426
11,Prince Edward Island,1101045,Three Rivers,10,Durum wheat,0,0
11,Prince Edward Island,1101045,Three Rivers,13,Winter wheat,4,482
11,Prince Edward Island,1101045,Three Rivers,16,Oats,10,372
11,Prince Edward Island,1101045,Three Rivers,19,Barley,16,808
11,Prince Edward Island,1101045,Three Rivers,22,Mixed grains,0,0
11,Prince Edward Island,1101045,Three Rivers,25,"Corn, total",11,573
11,Prince Edward Island,1101045,Three Rivers,28,Corn for grain,6,527
11,Prince Edward Island,1101045,Three Rivers,31,Corn for silage,5,
11,Prince Edward Island,1101045,Three Rivers,34,"Rye, total",0,0
11,Prince Edward Island,1101045,Three Rivers,37,Fall rye,0,0
11,Prince Edward Island,1101045,Three Rivers,40,Spring rye,0,0
11,Prince Edward Island,1101045,Three Rivers,43,Canola (rapeseed),0,0
11,Prince Edward Island,1101045,Three Rivers,46,Soybeans,13,1326
11,Prince Edward Island,1101045,Three Rivers,49,Flaxseed,0,0
11,Prince Edward Island,1101045,Three Rivers,52,Dry field peas,1,
11,Prince Edward Island,1101045,Three Rivers,55,Chick peas,0,0
11,Prince Edward Island,1101045,Three Rivers,58,Lentils,0,0
11,Prince Edward Island,1101045,Three Rivers,61,Faba beans,0,0
11,Prince Edward Island,1101045,Three Rivers,64,Dry white beans,0,0
11,Prince Edward Island,1101045,Three Rivers,67,Other dry beans,1,182
11,Prince Edward Island,1101045,Three Rivers,70,Alfalfa and alfalfa mixtures,5,
11,Prince Edward Island,1101045,Three Rivers,73,All other tame hay and fodder crops,29,1252
11,Prince Edward Island,1101045,Three Rivers,76,Forage seed to be harvested for seed,1,
11,Prince Edward Island,1101045,Three Rivers,79,Potatoes,5,
11,Prince Edward Island,1101045,Three Rivers,82,Mustard seed,0,0
11,Prince Edward Island,1101045,Three Rivers,85,Sunflower seed,0,0
11,Prince Edward Island,1101045,Three Rivers,88,Canary seed,0,0
11,Prince Edward Island,1101045,Three Rivers,91,Ginseng,0,0
11,Prince Edward Island,1101045,Three Rivers,94,Buckwheat,0,0
11,Prince Edward Island,1101045,Three Rivers,97,Sugar beets,0,0
11,Prince Edward Island,1101045,Three Rivers,100,Triticale,1,10
11,Prince Edward Island,1101045,Three Rivers,103,Hemp,0,0
11,Prince Edward Island,1101045,Three Rivers,106,Other field crops,0,0
11,Prince Edward Island,1101052,"East River, Part 2",1,Total area of field crops and hay,8,915
11,Prince Edward Island,1101052,"East River, Part 2",4,"Wheat, total",0,0
11,Prince Edward Island,1101052,"East River, Part 2",7,Spring wheat (excluding durum),0,0
11,Prince Edward Island,1101052,"East River, Part 2",10,Durum wheat,0,0
11,Prince Edward Island,1101052,"East River, Part 2",13,Winter wheat,0,0
11,Prince Edward Island,1101052,"East River, Part 2",16,Oats,0,0
11,Prince Edward Island,1101052,"East River, Part 2",19,Barley,2,152
11,Prince Edward Island,1101052,"East River, Part 2",22,Mixed grains,1,
11,Prince Edward Island,1101052,"East River, Part 2",25,"Corn, total",0,0
11,Prince Edward Island,1101052,"East River, Part 2",28,Corn for grain,0,0
11,Prince Edward Island,1101052,"East River, Part 2",31,Corn for silage,0,0
11,Prince Edward Island,1101052,"East River, Part 2",34,"Rye, total",1,45
11,Prince Edward Island,1101052,"East River, Part 2",37,Fall rye,1,45
11,Prince Edward Island,1101052,"East River, Part 2",40,Spring rye,0,0
11,Prince Edward Island,1101052,"East River, Part 2",43,Canola (rapeseed),0,0
11,Prince Edward Island,1101052,"East River, Part 2",46,Soybeans,2,
11,Prince Edward Island,1101052,"East River, Part 2",49,Flaxseed,0,0
11,Prince Edward Island,1101052,"East River, Part 2",52,Dry field peas,0,0
11,Prince Edward Island,1101052,"East River, Part 2",55,Chick peas,0,0
11,Prince Edward Island,1101052,"East River, Part 2",58,Lentils,0,0
11,Prince Edward Island,1101052,"East River, Part 2",61,Faba beans,0,0
11,Prince Edward Island,1101052,"East River, Part 2",64,Dry white beans,0,0
11,Prince Edward Island,1101052,"East River, Part 2",67,Other dry beans,0,0
11,Prince Edward Island,1101052,"East River, Part 2",70,Alfalfa and alfalfa mixtures,4,
11,Prince Edward Island,1101052,"East River, Part 2",73,All other tame hay and fodder crops,3,187
11,Prince Edward Island,1101052,"East River, Part 2",76,Forage seed to be harvested for seed,0,0
11,Prince Edward Island,1101052,"East River, Part 2",79,Potatoes,1,263
11,Prince Edward Island,1101052,"East River, Part 2",82,Mustard seed,0,0
11,Prince Edward Island,1101052,"East River, Part 2",85,Sunflower seed,0,0
11,Prince Edward Island,1101052,"East River, Part 2",88,Canary seed,0,0
11,Prince Edward Island,1101052,"East River, Part 2",91,Ginseng,0,0
11,Prince Edward Island,1101052,"East River, Part 2",94,Buckwheat,1,65
11,Prince Edward Island,1101052,"East River, Part 2",97,Sugar beets,0,0
11,Prince Edward Island,1101052,"East River, Part 2",100,Triticale,0,0
11,Prince Edward Island,1101052,"East River, Part 2",103,Hemp,0,0
11,Prince Edward Island,1101052,"East River, Part 2",106,Other field crops,0,0
11,Prince Edward Island,1102002,Belfast,1,Total area of field crops and hay,19,3189
11,Prince Edward Island,1102002,Belfast,4,"Wheat, total",8,870
11,Prince Edward Island,1102002,Belfast,7,Spring wheat (excluding durum),2,
11,Prince Edward Island,1102002,Belfast,10,Durum wheat,0,0
11,Prince Edward Island,1102002,Belfast,13,Winter wheat,8,781
11,Prince Edward Island,1102002,Belfast,16,Oats,3,
11,Prince Edward Island,1102002,Belfast,19,Barley,6,585
11,Prince Edward Island,1102002,Belfast,22,Mixed grains,0,0
11,Prince Edward Island,1102002,Belfast,25,"Corn, total",4,295
11,Prince Edward Island,1102002,Belfast,28,Corn for grain,3,206
11,Prince Edward Island,1102002,Belfast,31,Corn for silage,2,89
11,Prince Edward Island,1102002,Belfast,34,"Rye, total",0,0
11,Prince Edward Island,1102002,Belfast,37,Fall rye,0,0
11,Prince Edward Island,1102002,Belfast,40,Spring rye,0,0
11,Prince Edward Island,1102002,Belfast,43,Canola (rapeseed),0,0
11,Prince Edward Island,1102002,Belfast,46,Soybeans,7,280
11,Prince Edward Island,1102002,Belfast,49,Flaxseed,0,0
11,Prince Edward Island,1102002,Belfast,52,Dry field peas,0,0
11,Prince Edward Island,1102002,Belfast,55,Chick peas,0,0
11,Prince Edward Island,1102002,Belfast,58,Lentils,0,0
11,Prince Edward Island,1102002,Belfast,61,Faba beans,0,0
11,Prince Edward Island,1102002,Belfast,64,Dry white beans,0,0
11,Prince Edward Island,1102002,Belfast,67,Other dry beans,0,0
11,Prince Edward Island,1102002,Belfast,70,Alfalfa and alfalfa mixtures,3,216
11,Prince Edward Island,1102002,Belfast,73,All other tame hay and fodder crops,9,277
11,Prince Edward Island,1102002,Belfast,76,Forage seed to be harvested for seed,0,0
11,Prince Edward Island,1102002,Belfast,79,Potatoes,3,567
11,Prince Edward Island,1102002,Belfast,82,Mustard seed,0,0
11,Prince Edward Island,1102002,Belfast,85,Sunflower seed,0,0
11,Prince Edward Island,1102002,Belfast,88,Canary seed,0,0
11,Prince Edward Island,1102002,Belfast,91,Ginseng,0,0
11,Prince Edward Island,1102002,Belfast,94,Buckwheat,2,
11,Prince Edward Island,1102002,Belfast,97,Sugar beets,1,35
11,Prince Edward Island,1102002,Belfast,100,Triticale,0,0
11,Prince Edward Island,1102002,Belfast,103,Hemp,0,0
11,Prince Edward Island,1102002,Belfast,106,Other field crops,0,0
11,Prince Edward Island,1102010,Crossroads,1,Total area of field crops and hay,24,5724
11,Prince Edward Island,1102010,Crossroads,4,"Wheat, total",5,1255
11,Prince Edward Island,1102010,Crossroads,7,Spring wheat (excluding durum),1,
11,Prince Edward Island,1102010,Crossroads,10,Durum wheat,0,0
11,Prince Edward Island,1102010,Crossroads,13,Winter wheat,4,1153
11,Prince Edward Island,1102010,Crossroads,16,Oats,2,
11,Prince Edward Island,1102010,Crossroads,19,Barley,9,542
11,Prince Edward Island,1102010,Crossroads,22,Mixed grains,0,0
11,Prince Edward Island,1102010,Crossroads,25,"Corn, total",4,
11,Prince Edward Island,1102010,Crossroads,28,Corn for grain,3,
11,Prince Edward Island,1102010,Crossroads,31,Corn for silage,2,
11,Prince Edward Island,1102010,Crossroads,34,"Rye, total",1,
11,Prince Edward Island,1102010,Crossroads,37,Fall rye,1,
11,Prince Edward Island,1102010,Crossroads,40,Spring rye,0,0
11,Prince Edward Island,1102010,Crossroads,43,Canola (rapeseed),0,0
11,Prince Edward Island,1102010,Crossroads,46,Soybeans,7,401
11,Prince Edward Island,1102010,Crossroads,49,Flaxseed,0,0
11,Prince Edward Island,1102010,Crossroads,52,Dry field peas,1,263
11,Prince Edward Island,1102010,Crossroads,55,Chick peas,0,0
11,Prince Edward Island,1102010,Crossroads,58,Lentils,0,0
11,Prince Edward Island,1102010,Crossroads,61,Faba beans,0,0
11,Prince Edward Island,1102010,Crossroads,64,Dry white beans,0,0
11,Prince Edward Island,1102010,Crossroads,67,Other dry beans,0,0
11,Prince Edward Island,1102010,Crossroads,70,Alfalfa and alfalfa mixtures,3,
11,Prince Edward Island,1102010,Crossroads,73,All other tame hay and fodder crops,16,573
11,Prince Edward Island,1102010,Crossroads,76,Forage seed to be harvested for seed,1,188
11,Prince Edward Island,1102010,Crossroads,79,Potatoes,5,1934
11,Prince Edward Island,1102010,Crossroads,82,Mustard seed,0,0
11,Prince Edward Island,1102010,Crossroads,85,Sunflower seed,0,0
11,Prince Edward Island,1102010,Crossroads,88,Canary seed,0,0
11,Prince Edward Island,1102010,Crossroads,91,Ginseng,0,0
11,Prince Edward Island,1102010,Crossroads,94,Buckwheat,1,247
11,Prince Edward Island,1102010,Crossroads,97,Sugar beets,0,0
11,Prince Edward Island,1102010,Crossroads,100,Triticale,0,0
11,Prince Edward Island,1102010,Crossroads,103,Hemp,1,4
11,Prince Edward Island,1102010,Crossroads,106,Other field crops,0,0
11,Prince Edward Island,1102016,Vernon River,1,Total area of field crops and hay,62,10313
11,Prince Edward Island,1102016,Vernon River,4,"Wheat, total",13,1395
11,Prince Edward Island,1102016,Vernon River,7,Spring wheat (excluding durum),9,669
11,Prince Edward Island,1102016,Vernon River,10,Durum wheat,0,0
11,Prince Edward Island,1102016,Vernon River,13,Winter wheat,8,726
11,Prince Edward Island,1102016,Vernon River,16,Oats,11,155
11,Prince Edward Island,1102016,Vernon River,19,Barley,21,1182
11,Prince Edward Island,1102016,Vernon River,22,Mixed grains,3,
11,Prince Edward Island,1102016,Vernon River,25,"Corn, total",13,1021
11,Prince Edward Island,1102016,Vernon River,28,Corn for grain,5,687
11,Prince Edward Island,1102016,Vernon River,31,Corn for silage,8,335
11,Prince Edward Island,1102016,Vernon River,34,"Rye, total",2,154
11,Prince Edward Island,1102016,Vernon River,37,Fall rye,2,154
11,Prince Edward Island,1102016,Vernon River,40,Spring rye,0,0
11,Prince Edward Island,1102016,Vernon River,43,Canola (rapeseed),0,0
11,Prince Edward Island,1102016,Vernon River,46,Soybeans,12,1811
11,Prince Edward Island,1102016,Vernon River,49,Flaxseed,0,0
11,Prince Edward Island,1102016,Vernon River,52,Dry field peas,1,
11,Prince Edward Island,1102016,Vernon River,55,Chick peas,0,0
11,Prince Edward Island,1102016,Vernon River,58,Lentils,0,0
11,Prince Edward Island,1102016,Vernon River,61,Faba beans,0,0
11,Prince Edward Island,1102016,Vernon River,64,Dry white beans,0,0
11,Prince Edward Island,1102016,Vernon River,67,Other dry beans,1,182
11,Prince Edward Island,1102016,Vernon River,70,Alfalfa and alfalfa mixtures,11,504
11,Prince Edward Island,1102016,Vernon River,73,All other tame hay and fodder crops,40,2134
11,Prince Edward Island,1102016,Vernon River,76,Forage seed to be harvested for seed,0,0
11,Prince Edward Island,1102016,Vernon River,79,Potatoes,12,1399
11,Prince Edward Island,1102016,Vernon River,82,Mustard seed,0,0
11,Prince Edward Island,1102016,Vernon River,85,Sunflower seed,0,0
11,Prince Edward Island,1102016,Vernon River,88,Canary seed,0,0
11,Prince Edward Island,1102016,Vernon River,91,Ginseng,0,0
11,Prince Edward Island,1102016,Vernon River,94,Buckwheat,4,
11,Prince Edward Island,1102016,Vernon River,97,Sugar beets,0,0
11,Prince Edward Island,1102016,Vernon River,100,Triticale,0,0
11,Prince Edward Island,1102016,Vernon River,103,Hemp,0,0
11,Prince Edward Island,1102016,Vernon River,106,Other field crops,1,283
11,Prince Edward Island,1102017,New Glasgow,1,Total area of field crops and hay,74,8405
11,Prince Edward Island,1102017,New Glasgow,4,"Wheat, total",15,596
11,Prince Edward Island,1102017,New Glasgow,7,Spring wheat (excluding durum),7,
11,Prince Edward Island,1102017,New Glasgow,10,Durum wheat,1,47
11,Prince Edward Island,1102017,New Glasgow,13,Winter wheat,12,
11,Prince Edward Island,1102017,New Glasgow,16,Oats,8,138
11,Prince Edward Island,1102017,New Glasgow,19,Barley,25,1017
11,Prince Edward Island,1102017,New Glasgow,22,Mixed grains,10,213
11,Prince Edward Island,1102017,New Glasgow,25,"Corn, total",25,1059
11,Prince Edward Island,1102017,New Glasgow,28,Corn for grain,9,
11,Prince Edward Island,1102017,New Glasgow,31,Corn for silage,19,784
11,Prince Edward Island,1102017,New Glasgow,34,"Rye, total",4,
11,Prince Edward Island,1102017,New Glasgow,37,Fall rye,4,
11,Prince Edward Island,1102017,New Glasgow,40,Spring rye,0,0
11,Prince Edward Island,1102017,New Glasgow,43,Canola (rapeseed),0,0
11,Prince Edward Island,1102017,New Glasgow,46,Soybeans,15,981
11,Prince Edward Island,1102017,New Glasgow,49,Flaxseed,0,0
11,Prince Edward Island,1102017,New Glasgow,52,Dry field peas,2,91
11,Prince Edward Island,1102017,New Glasgow,55,Chick peas,0,0
11,Prince Edward Island,1102017,New Glasgow,58,Lentils,0,0
11,Prince Edward Island,1102017,New Glasgow,61,Faba beans,0,0
11,Prince Edward Island,1102017,New Glasgow,64,Dry white beans,0,0
11,Prince Edward Island,1102017,New Glasgow,67,Other dry beans,1,
11,Prince Edward Island,1102017,New Glasgow,70,Alfalfa and alfalfa mixtures,28,1376
11,Prince Edward Island,1102017,New Glasgow,73,All other tame hay and fodder crops,44,2193
11,Prince Edward Island,1102017,New Glasgow,76,Forage seed to be harvested for seed,2,
11,Prince Edward Island,1102017,New Glasgow,79,Potatoes,7,
11,Prince Edward Island,1102017,New Glasgow,82,Mustard seed,0,0
11,Prince Edward Island,1102017,New Glasgow,85,Sunflower seed,0,0
11,Prince Edward Island,1102017,New Glasgow,88,Canary seed,0,0
11,Prince Edward Island,1102017,New Glasgow,91,Ginseng,0,0
11,Prince Edward Island,1102017,New Glasgow,94,Buckwheat,3,
11,Prince Edward Island,1102017,New Glasgow,97,Sugar beets,0,0
11,Prince Edward Island,1102017,New Glasgow,100,Triticale,0,0
11,Prince Edward Island,1102017,New Glasgow,103,Hemp,0,0
11,Prince Edward Island,1102017,New Glasgow,106,Other field crops,1,142
11,Prince Edward Island,1102018,"Crapaud, Part 1",1,Total area of field crops and hay,25,3403
11,Prince Edward Island,1102018,"Crapaud, Part 1",4,"Wheat, total",3,237
11,Prince Edward Island,1102018,"Crapaud, Part 1",7,Spring wheat (excluding durum),3,
11,Prince Edward Island,1102018,"Crapaud, Part 1",10,Durum wheat,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",13,Winter wheat,1,162
11,Prince Edward Island,1102018,"Crapaud, Part 1",16,Oats,5,80
11,Prince Edward Island,1102018,"Crapaud, Part 1",19,Barley,12,833
11,Prince Edward Island,1102018,"Crapaud, Part 1",22,Mixed grains,2,
11,Prince Edward Island,1102018,"Crapaud, Part 1",25,"Corn, total",4,
11,Prince Edward Island,1102018,"Crapaud, Part 1",28,Corn for grain,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",31,Corn for silage,4,85
11,Prince Edward Island,1102018,"Crapaud, Part 1",34,"Rye, total",0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",37,Fall rye,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",40,Spring rye,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",43,Canola (rapeseed),0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",46,Soybeans,3,
11,Prince Edward Island,1102018,"Crapaud, Part 1",49,Flaxseed,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",52,Dry field peas,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",55,Chick peas,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",58,Lentils,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",61,Faba beans,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",64,Dry white beans,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",67,Other dry beans,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",70,Alfalfa and alfalfa mixtures,3,
11,Prince Edward Island,1102018,"Crapaud, Part 1",73,All other tame hay and fodder crops,15,712
11,Prince Edward Island,1102018,"Crapaud, Part 1",76,Forage seed to be harvested for seed,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",79,Potatoes,6,1165
11,Prince Edward Island,1102018,"Crapaud, Part 1",82,Mustard seed,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",85,Sunflower seed,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",88,Canary seed,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",91,Ginseng,0,0
11,Prince Edward Island,1102018,"Crapaud, Part 1",94,Buckwheat,0,0
